이름,도로명주소,방문자 평점,상세페이지URL
롯데리아 광교점,"경기 수원시 영통구 도청로89번길 43 1층 112호, 113호",4.48,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1174432334
샤이바나 광교월드마크점,경기 수원시 영통구 센트럴타운로 107 광교월드스퀘어 1층 40호,4.44,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1255208576
맥도날드 수원화성DT점,경기 수원시 팔달구 경수대로 676,4.36,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/18178272
비다벨로,경기 수원시 영통구 센트럴파크로127번길 80-14 1층,4.62,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1345495731
5월정원,경기 수원시 영통구 웰빙타운로36번길 46-117 1층 101호,4.41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1688105744
미뜨레피자 광교점,경기 수원시 영통구 에듀타운로 101 102동105호 미뜨레피자,4.69,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1316171765
피자알볼로 우만점,경기 수원시 팔달구 월드컵로 299 1층 좌측,4.51,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/53844407
피자브라더스 동수원점,경기 수원시 팔달구 월드컵로 355 1층,4.53,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1787634829
프랭크버거 광교에듀타운점,경기 수원시 영통구 에듀타운로 102 B동 141호,4.62,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1497722765
닐리 광교테크노벨리점,"경기 수원시 영통구 에듀타운로 108 108호(이의동, 광교 경동 해피리움)",4.46,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1943540434
GTS버거 광교카페거리점,경기 수원시 영통구 센트럴파크로127번길 100 지하 1층,4.55,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1581539525
더테이블,경기 수원시 영통구 광교산로 154-42,4.96,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1919453209
피자헛 수원광교점,경기 수원시 영통구 센트럴타운로 106,4.41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1681207267
피자스쿨 광교웰빙타운점,경기 수원시 영통구 대학로 103 골드클래스,4.55,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/38230435
아임홈,경기 수원시 영통구 센트럴파크로127번길 114,4.31,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/37263713
연무이공,경기 수원시 장안구 경수대로753번길 30,4.79,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1395592780
도미노피자 광교점,경기 수원시 영통구 센트럴타운로 92,4.39,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/35958280
버거킹 광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로 85,4.44,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/37162874
루키스버거,경기 수원시 영통구 센트럴타운로 106 1층 120~121호,4.35,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1560747645
파스타입니다 광교중앙점,경기 수원시 영통구 도청로 95 알파동 B1층 103호 파스타입니다 광교중앙점,4.54,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1724021498
피자플래넷 수원 우만점,경기 수원시 팔달구 월드컵로 305 1층 피자 플래넷,4.31,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1916754211
59쌀피자 조원점,경기 수원시 장안구 금당로 39,4.53,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/18002438
이 리,경기 수원시 팔달구 창룡대로 90 이리,4.5,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1091515147
도미노피자 동수원점,경기 수원시 팔달구 세지로 394 1층 101호,4.33,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1530862442
