이름,도로명주소,방문자 평점,상세페이지URL
황금입은 동까스 본점,경기 수원시 영통구 대학3로4번길 12 이스턴타워104호,4.56,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/36984899
카마타케제면소 광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로 85 2층 B205-1호,4.37,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/301041898
아비꼬 광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로 85,4.16,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/37191700
순한,경기 수원시 장안구 송정로187번길 41 106호,4.54,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1683449526
키무카츠광교점,경기 수원시 영통구 광교로 191,4.13,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1467257064
최고당돈가스 광교점,경기 수원시 영통구 광교로 146 안효빌딩 1층 104호 최고당돈가스 광교점,4.53,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1442419645
오사카부루스 수원우만점,경기 수원시 팔달구 팔달문로153번길 80 2층 오사카부루스 우만점,4.45,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1869883587
뽕이돈까스,경기 수원시 장안구 송정로168번길 2 1층 뽕이돈까스,4.67,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1114678398
난카츠난우동 이마트광교점,경기 수원시 영통구 광교로 191,4.5,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1923146984
수제돈까스전문점,경기 수원시 팔달구 창룡대로150번길 6,4.12,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1681786529
한우동 조원점,경기 수원시 장안구 조원로112번길 35 102호,4.28,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/37370599
배터지는생돈가스,경기 수원시 팔달구 경수대로692번길 43,4.32,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/13555369
초이스시,경기 수원시 팔달구 팔달문로153번길 7 스타맨션 1층 101호,5.0,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1262038328
푸른 수산,경기 수원시 팔달구 세지로 405-3,4.62,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1302545203
돈쫄엔파스타 우만본점,경기 수원시 팔달구 팔달문로 156-1,4.38,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/1118731488
동네방네달리는생돈까스,경기 수원시 장안구 조원로 100-1,4.78,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%9D%BC%EC%8B%9D/place/17996883
